created at,id,run id,run attempt,workflow name,name,head branch,conclusion,step,html url
"17.09.24, 02:12:45",30233439725,10895346221,1,Send dependabot new vulnerability alerts,Send notifications,24_2,failure,Teams Notification,https://github.com/DevExpress/DevExtreme/actions/runs/10895346221/job/30233439725
"17.09.24, 10:29:31",30250613786,10901248169,1,Build and pack DevExtreme npm packages,build,24_2_security_issue,failure,Install dependencies,https://github.com/DevExpress/DevExtreme/actions/runs/10901248169/job/30250613786
"17.09.24, 10:28:54",30250585370,10901238203,1,Build and pack DevExtreme npm packages,build,24_2_security_issue,failure,Install dependencies,https://github.com/DevExpress/DevExtreme/actions/runs/10901238203/job/30250585370
"17.09.24, 09:23:35",30247362699,10900225868,1,Build and pack DevExtreme npm packages,build,24_2_security_issue,failure,Install dependencies,https://github.com/DevExpress/DevExtreme/actions/runs/10900225868/job/30247362699
"17.09.24, 19:53:33",30279755204,10910092320,1,Default Workflow,main,renovate/npm-vite-vulnerability,cancelled,,https://github.com/DevExpress/DevExtreme/actions/runs/10910092320/job/30279755204
"17.09.24, 15:56:30",30268535356,10906693956,1,Default Workflow,main,24_2_chat_update_user_type,cancelled,,https://github.com/DevExpress/DevExtreme/actions/runs/10906693956/job/30268535356
"17.09.24, 15:02:12",30265375933,10905750914,1,Default Workflow,main,24_2_chat_avatar_features,cancelled,,https://github.com/DevExpress/DevExtreme/actions/runs/10905750914/job/30265375933
"17.09.24, 14:13:37",30262401918,10904883239,1,Default Workflow,main,24_2_chat_avatar_features,cancelled,,https://github.com/DevExpress/DevExtreme/actions/runs/10904883239/job/30262401918
"17.09.24, 14:10:06",30262181356,10904820485,1,Default Workflow,main,24_2_chat_avatar_features,cancelled,,https://github.com/DevExpress/DevExtreme/actions/runs/10904820485/job/30262181356
"17.09.24, 10:29:46",30250624929,10901248188,1,Default Workflow,main,24_2_security_issue,failure,Install dependencies,https://github.com/DevExpress/DevExtreme/actions/runs/10901248188/job/30250624929
"17.09.24, 10:28:56",30250586555,10901238204,1,Default Workflow,main,24_2_security_issue,cancelled,Setup pnpm cache,https://github.com/DevExpress/DevExtreme/actions/runs/10901238204/job/30250586555
"17.09.24, 09:23:35",30247363084,10900225838,1,Default Workflow,main,24_2_security_issue,failure,Install dependencies,https://github.com/DevExpress/DevExtreme/actions/runs/10900225838/job/30247363084
"17.09.24, 19:50:39",30279628818,10910053844,1,Demos unit tests,Run unit tests,dependabot/npm_and_yarn/e2e/bundlers/vite-3.2.11,failure,Install dependencies,https://github.com/DevExpress/DevExtreme/actions/runs/10910053844/job/30279628818
"17.09.24, 10:29:45",30250624273,10901248179,1,Demos unit tests,Run unit tests,24_2_security_issue,failure,Install dependencies,https://github.com/DevExpress/DevExtreme/actions/runs/10901248179/job/30250624273
"17.09.24, 10:28:57",30250587537,10901238192,1,Demos unit tests,Run unit tests,24_2_security_issue,cancelled,Setup pnpm cache,https://github.com/DevExpress/DevExtreme/actions/runs/10901238192/job/30250587537
"17.09.24, 09:23:36",30247363835,10900225860,1,Demos unit tests,Run unit tests,24_2_security_issue,failure,Install dependencies,https://github.com/DevExpress/DevExtreme/actions/runs/10900225860/job/30247363835
"17.09.24, 19:50:38",30279628681,10910053840,1,Demos Visual Tests,Build devextreme,dependabot/npm_and_yarn/e2e/bundlers/vite-3.2.11,failure,Install dependencies,https://github.com/DevExpress/DevExtreme/actions/runs/10910053840/job/30279628681
"17.09.24, 16:02:09",30268845142,10906693959,1,Demos Visual Tests,jquery(4/4)-accessibility-generic.light,24_2_chat_update_user_type,failure,Setup Chrome,https://github.com/DevExpress/DevExtreme/actions/runs/10906693959/job/30268845142
"17.09.24, 20:01:28",30280105236,10906693959,2,Demos Visual Tests,jquery(4/4)-accessibility-generic.light,24_2_chat_update_user_type,cancelled,Get sources,https://github.com/DevExpress/DevExtreme/actions/runs/10906693959/job/30280105236
"17.09.24, 14:10:06",30262181268,10904820501,1,Demos Visual Tests,Build devextreme,24_2_chat_avatar_features,cancelled,DevExtreme - Build,https://github.com/DevExpress/DevExtreme/actions/runs/10904820501/job/30262181268
"17.09.24, 14:13:49",30262413563,10904820501,1,Demos Visual Tests,${{ matrix.CONSTEL }}-${{ matrix.STRATEGY }}-${{ matrix.THEME }},24_2_chat_avatar_features,cancelled,,https://github.com/DevExpress/DevExtreme/actions/runs/10904820501/job/30262413563
"17.09.24, 12:09:53",30255252454,10902630327,1,Demos Visual Tests,jquery(4/4)-accessibility-fluent.blue.light,24_2_chat_avatar_features,failure,Setup Chrome,https://github.com/DevExpress/DevExtreme/actions/runs/10902630327/job/30255252454
