date,id,workflow name,main success runs,main failure runs,main cancelled runs,main skipped runs,main retries,main min duration,main avg duration,main max duration,pr success runs,pr failure runs,pr cancelled runs,pr skipped runs,pr retries,pr min duration,pr avg duration,pr max duration
2025-04-07,_security-alerts.yml,Send dependabot new vulnerability alerts,0,1,0,0,0,"0,0003587962963","0,0003587962963","0,0003587962963",0,0,0,0,0,0,0,0
2025-04-07,build_all.yml,Build and pack DevExtreme npm packages,8,1,0,0,0,"0,008912037037","0,0184066358","0,02625",35,5,0,0,0,"0,002627314815","0,01681915509","0,02483796296"
2025-04-07,codeql.yml,CodeQL,5,0,0,0,0,"0,008043981481","0,01263425926","0,01886574074",0,0,0,0,0,0,0,0
2025-04-07,codeql_scheduler.yml,CodeQL (scheduler),1,0,0,0,0,"0,0002314814815","0,0002314814815","0,0002314814815",0,0,0,0,0,0,0,0
2025-04-07,default_workflow.yml,Default Workflow,9,0,0,0,0,"0,004664351852","0,009834104938","0,01605324074",36,1,3,0,0,"0,001793981481","0,007566840278","0,01261574074"
2025-04-07,demos_unit_tests.yml,Demos unit tests,9,0,0,0,0,"0,0008333333333","0,001108539095","0,001979166667",40,0,0,0,0,"0,0008101851852","0,0009947916667","0,001631944444"
2025-04-07,demos_visual_tests.yml,Demos Visual Tests,6,3,0,0,0,"0,01289351852","0,01393389918","0,01918981481",32,4,4,0,1,"0,001805555556","0,009301215278","0,02158564815"
2025-04-07,demos_visual_tests_frameworks.yml,Demos Frameworks,0,9,0,0,0,"0,01759259259","0,03068544239","0,03560185185",29,5,6,0,0,"0,001805555556","0,01308940972","0,0209375"
2025-04-07,lint.yml,Lint,8,1,0,0,0,"0,005474537037","0,01274048354","0,0171875",27,10,3,0,0,"0,00181712963","0,009108217593","0,01446759259"
2025-04-07,packages_publishing.yml,Publishing to GitHub Packages,5,0,0,0,0,"0,0158912037","0,01702083333","0,01915509259",0,0,0,0,0,0,0,0
2025-04-07,packages_publishing_scheduler.yml,Publishing to GitHub Packages (scheduler),1,0,0,0,0,"0,000150462963","0,000150462963","0,000150462963",0,0,0,0,0,0,0,0
2025-04-07,playgrounds_tests.yml,Playgrounds tests,9,0,0,0,0,"0,01591435185","0,02644290123","0,03240740741",32,2,6,0,0,"0,001805555556","0,01809403935","0,03738425926"
2025-04-07,qunit_tests-additional-renovation.yml,Additional QUnit,9,0,0,0,0,"0,0149537037","0,02204218107","0,02717592593",28,5,7,0,2,"0,001851851852","0,01754369213","0,02747685185"
2025-04-07,qunit_tests-renovation.yml,QUnit tests for renovation,5,4,0,0,0,"0,01059027778","0,0176093107","0,02086805556",22,12,6,0,3,"0,00181712963","0,01679224537","0,03329861111"
2025-04-07,renovate_autoapprove.yml,Auto approve renovate bot PR,1,0,0,0,0,"0,003449074074","0,003449074074","0,003449074074",44,0,0,0,0,"0,0001041666667","0,0006152672559","0,00375"
2025-04-07,renovation.yml,Renovation,9,0,0,0,0,"0,002673611111","0,00401877572","0,008333333333",32,6,2,0,0,"0,001608796296","0,0033359375","0,005405092593"
2025-04-07,styles.yml,Styles tests,9,0,0,0,0,"0,001423611111","0,003477366255","0,007881944444",38,0,2,0,0,"0,001331018519","0,00275","0,004884259259"
2025-04-07,testcafe_tests.yml,TestCafe tests,3,6,0,0,0,"0,01077546296","0,03165380658","0,05232638889",15,15,10,0,4,"0,001840277778","0,02454253472","0,04451388889"
2025-04-07,themebuilder_tests.yml,Themebuilder and Styles tests,8,1,0,0,0,"0,00462962963","0,007017746914","0,01341435185",35,2,3,0,0,"0,001805555556","0,005027777778","0,008449074074"
2025-04-07,ts_declarations.yml,TS Declarations,9,0,0,0,0,"0,002083333333","0,003891460905","0,007800925926",29,9,2,0,0,"0,001678240741","0,003267650463","0,005266203704"
2025-04-07,wrapper_tests.yml,DevExtreme Wrappers Tests,7,2,0,0,0,"0,01664351852","0,02828703704","0,03790509259",36,4,0,0,0,"0,00375","0,01468431713","0,03240740741"
