created at,id,run id,run attempt,workflow name,name,head branch,conclusion,step,html url
"27.05.26, 03:18:09",78001393969,26488627610,1,Send dependabot new vulnerability alerts,Send notifications,26_1,failure,Teams Notification,https://github.com/DevExpress/DevExtreme/actions/runs/26488627610/job/78001393969
"27.05.26, 14:15:38",78096259238,26516822838,1,Build and pack DevExtreme npm packages,build,renovate/pin-dependencies,failure,,https://github.com/DevExpress/DevExtreme/actions/runs/26516822838/job/78096259238
"27.05.26, 13:39:10",78088498605,26514723652,1,Build and pack DevExtreme npm packages,build,security-deps-overrides-25_2,failure,,https://github.com/DevExpress/DevExtreme/actions/runs/26514723652/job/78088498605
"27.05.26, 13:14:16",78083418921,26513343243,1,Build and pack DevExtreme npm packages,build,26_1_textbox_typing,failure,,https://github.com/DevExpress/DevExtreme/actions/runs/26513343243/job/78083418921
"27.05.26, 16:14:14",78121054895,26523571800,1,Default Workflow,main,chore/migrate-devextreme-to-nx-TS,cancelled,Get sources,https://github.com/DevExpress/DevExtreme/actions/runs/26523571800/job/78121054895
"27.05.26, 15:44:52",78115164997,26521948837,1,Default Workflow,main,renovate/pin-dependencies,failure,,https://github.com/DevExpress/DevExtreme/actions/runs/26521948837/job/78115164997
"27.05.26, 14:15:38",78096258228,26516822467,1,Default Workflow,main,renovate/pin-dependencies,failure,,https://github.com/DevExpress/DevExtreme/actions/runs/26516822467/job/78096258228
"27.05.26, 13:11:55",78082963287,26513217709,1,Default Workflow,main,26_1_textbox_typing,cancelled,Run targets,https://github.com/DevExpress/DevExtreme/actions/runs/26513217709/job/78082963287
"27.05.26, 11:24:19",78066107631,26508217684,1,Default Workflow,main,security-deps-overrides-25_2,failure,Run targets,https://github.com/DevExpress/DevExtreme/actions/runs/26508217684/job/78066107631
"27.05.26, 11:38:13",78068307891,26508217684,2,Default Workflow,main,security-deps-overrides-25_2,failure,Run targets,https://github.com/DevExpress/DevExtreme/actions/runs/26508217684/job/78068307891
"27.05.26, 11:50:33",78069904013,26508217684,3,Default Workflow,main,security-deps-overrides-25_2,failure,Run targets,https://github.com/DevExpress/DevExtreme/actions/runs/26508217684/job/78069904013
"27.05.26, 12:11:41",78072857000,26508217684,4,Default Workflow,main,security-deps-overrides-25_2,failure,Run targets,https://github.com/DevExpress/DevExtreme/actions/runs/26508217684/job/78072857000
"27.05.26, 16:14:15",78121056061,26523572143,1,Demos unit tests,Check if tests should run,chore/migrate-devextreme-to-nx-TS,cancelled,,https://github.com/DevExpress/DevExtreme/actions/runs/26523572143/job/78121056061
"27.05.26, 16:14:26",78121090541,26523572143,1,Demos unit tests,Run unit tests,chore/migrate-devextreme-to-nx-TS,cancelled,,https://github.com/DevExpress/DevExtreme/actions/runs/26523572143/job/78121090541
"27.05.26, 18:28:27",78146101478,26530131653,1,Demos Visual Tests,jquery(1/3)-screenshots-fluent.blue.light,security-deps-overrides-25_2,failure,,https://github.com/DevExpress/DevExtreme/actions/runs/26530131653/job/78146101478
"27.05.26, 18:28:27",78146101507,26530131653,1,Demos Visual Tests,jquery-accessibility-fluent.blue.light,security-deps-overrides-25_2,failure,,https://github.com/DevExpress/DevExtreme/actions/runs/26530131653/job/78146101507
"27.05.26, 14:43:28",78102206056,26518394715,1,Demos Visual Tests,Build DevExtreme,test/scheduler-migrate-popup-form-tests-25_2,failure,DevExtreme - Build,https://github.com/DevExpress/DevExtreme/actions/runs/26518394715/job/78102206056
"27.05.26, 15:06:07",78107068772,26518394715,2,Demos Visual Tests,jquery(2/3)-screenshots-fluent.blue.light,test/scheduler-migrate-popup-form-tests-25_2,cancelled,Run TestCafe tests (jQuery),https://github.com/DevExpress/DevExtreme/actions/runs/26518394715/job/78107068772
"27.05.26, 14:15:28",78096220926,26516700600,1,Demos Visual Tests,Build DevExtreme,security-tmp-25_1,failure,,https://github.com/DevExpress/DevExtreme/actions/runs/26516700600/job/78096220926
"27.05.26, 11:53:50",78070311230,26508995553,1,Demos Visual Tests,jquery(3/3)-screenshots-fluent.blue.light,security-tmp-25_1,failure,,https://github.com/DevExpress/DevExtreme/actions/runs/26508995553/job/78070311230
"27.05.26, 11:24:45",78066175666,26508217639,1,Demos Visual Tests,Build DevExtreme,security-deps-overrides-25_2,failure,DevExtreme - Build,https://github.com/DevExpress/DevExtreme/actions/runs/26508217639/job/78066175666
"27.05.26, 11:54:28",78070396850,26508217639,2,Demos Visual Tests,jquery(3/3)-screenshots-fluent.blue.light,security-deps-overrides-25_2,failure,Run TestCafe tests (jQuery),https://github.com/DevExpress/DevExtreme/actions/runs/26508217639/job/78070396850
"27.05.26, 11:54:28",78070396865,26508217639,2,Demos Visual Tests,jquery(2/3)-screenshots-fluent.blue.light,security-deps-overrides-25_2,failure,Run TestCafe tests (jQuery),https://github.com/DevExpress/DevExtreme/actions/runs/26508217639/job/78070396865
"27.05.26, 10:54:30",78061424734,26505695063,1,Demos Visual Tests,Lint code base,25_2,failure,Run lint on all demos,https://github.com/DevExpress/DevExtreme/actions/runs/26505695063/job/78061424734
"27.05.26, 10:54:30",78061424781,26505695063,1,Demos Visual Tests,Check generated demos (1/5),25_2,cancelled,Check generated JS demos,https://github.com/DevExpress/DevExtreme/actions/runs/26505695063/job/78061424781
"27.05.26, 10:42:22",78059539718,26505682742,1,Demos Visual Tests,Lint code base,25_1,failure,Run lint,https://github.com/DevExpress/DevExtreme/actions/runs/26505682742/job/78059539718
"27.05.26, 10:10:53",78054664316,26504250800,1,Demos Visual Tests,Lint code base,25_2,failure,Run lint on all demos,https://github.com/DevExpress/DevExtreme/actions/runs/26504250800/job/78054664316
"27.05.26, 10:10:53",78054664334,26504250800,1,Demos Visual Tests,jquery(1/3)-screenshots-material.blue.light,25_2,failure,,https://github.com/DevExpress/DevExtreme/actions/runs/26504250800/job/78054664334
"27.05.26, 10:10:53",78054664357,26504250800,1,Demos Visual Tests,Check generated demos (1/5),25_2,failure,,https://github.com/DevExpress/DevExtreme/actions/runs/26504250800/job/78054664357
