created at,id,run id,run attempt,workflow name,name,head branch,conclusion,step,html url
""06.09.23, 14:14:54"",16547884563,6097833722,2,DevExtreme package tests,Demos visual tests jquery(1/4),no-excessive-onrendered-on-remount,failure,Run TestCafe tests,https://github.com/DevExpress/DevExtreme/actions/runs/6097833722/job/16547884563
""06.09.23, 14:14:55"",16547884900,6097833722,2,DevExtreme package tests,Demos visual tests jquery(2/4),no-excessive-onrendered-on-remount,failure,Run TestCafe tests,https://github.com/DevExpress/DevExtreme/actions/runs/6097833722/job/16547884900
""06.09.23, 14:14:55"",16547885172,6097833722,2,DevExtreme package tests,Demos visual tests jquery(3/4),no-excessive-onrendered-on-remount,failure,Run TestCafe tests,https://github.com/DevExpress/DevExtreme/actions/runs/6097833722/job/16547885172
""06.09.23, 14:14:55"",16547885437,6097833722,2,DevExtreme package tests,Demos visual tests jquery(4/4),no-excessive-onrendered-on-remount,failure,Run TestCafe tests,https://github.com/DevExpress/DevExtreme/actions/runs/6097833722/job/16547885437
""06.09.23, 13:39:18"",16546520488,6097804402,1,DevExtreme package tests,Demos visual tests jquery(1/4),23_2_tabs_styling_mode_material,cancelled,Install packages for devextreme-demos,https://github.com/DevExpress/DevExtreme/actions/runs/6097804402/job/16546520488
""06.09.23, 13:39:18"",16546520801,6097804402,1,DevExtreme package tests,Demos visual tests jquery(2/4),23_2_tabs_styling_mode_material,cancelled,Clone devextreme-demos repo,https://github.com/DevExpress/DevExtreme/actions/runs/6097804402/job/16546520801
""06.09.23, 13:39:18"",16546521082,6097804402,1,DevExtreme package tests,Demos visual tests jquery(3/4),23_2_tabs_styling_mode_material,cancelled,Install packages for devextreme-demos,https://github.com/DevExpress/DevExtreme/actions/runs/6097804402/job/16546521082
""06.09.23, 13:39:19"",16546521359,6097804402,1,DevExtreme package tests,Demos visual tests jquery(4/4),23_2_tabs_styling_mode_material,cancelled,Install packages for devextreme-demos,https://github.com/DevExpress/DevExtreme/actions/runs/6097804402/job/16546521359
""06.09.23, 13:39:19"",16546521772,6097804402,1,DevExtreme package tests,Bundlers tests,23_2_tabs_styling_mode_material,cancelled,Build webpack cjs,https://github.com/DevExpress/DevExtreme/actions/runs/6097804402/job/16546521772
""06.09.23, 13:48:22"",16546853667,6097804402,1,DevExtreme package tests,Send notifications,23_2_tabs_styling_mode_material,cancelled,,https://github.com/DevExpress/DevExtreme/actions/runs/6097804402/job/16546853667
""06.09.23, 13:23:34"",16545929955,6097720761,1,DevExtreme package tests,build,renovate/23_2-pin-dependencies,failure,Install packages in devextreme repo,https://github.com/DevExpress/DevExtreme/actions/runs/6097720761/job/16545929955
